title,year,ids.trakt,ids.slug,ids.imdb,ids.tmdb,watchers,certification,poster_url
The Matrix,1999,481,the-matrix-1999,tt0133093,603,102,R,https://walter-r2.trakt.tv/images/movies/000/000/481/posters/thumb/373310d2ee.jpg.webp
The Lord of the Rings: The Fellowship of the Ring,2001,88,the-lord-of-the-rings-the-fellowship-of-the-ring-2001,tt0120737,120,102,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/088/posters/thumb/73a273048f.jpg.webp
Harry Potter and the Philosopher's Stone,2001,545,harry-potter-and-the-philosopher-s-stone-2001,tt0241527,671,99,PG,https://walter-r2.trakt.tv/images/movies/000/000/545/posters/thumb/edb1130bfb.jpg.webp
John Wick,2014,149640,john-wick-2014,tt2911666,245891,97,R,https://walter-r2.trakt.tv/images/movies/000/149/640/posters/thumb/5390457ad0.jpg.webp
Flow,2024,656016,flow-2024,tt4772188,823219,97,PG,https://walter-r2.trakt.tv/images/movies/000/656/016/posters/thumb/d04fb30064.jpg.webp
The Wolf of Wall Street,2013,75735,the-wolf-of-wall-street-2013,tt0993846,106646,95,R,https://walter-r2.trakt.tv/images/movies/000/075/735/posters/thumb/c16d9c81f0.jpg.webp
Guardians of the Galaxy Vol. 2,2017,181256,guardians-of-the-galaxy-vol-2-2017,tt3896198,283995,94,PG-13,https://walter-r2.trakt.tv/images/movies/000/181/256/posters/thumb/7e5624f875.jpg.webp
Fight or Flight,2025,977993,fight-or-flight-2025,tt13652286,1212855,94,N/A,https://walter-r2.trakt.tv/images/movies/000/977/993/posters/thumb/216d2b4892.jpg.webp
Moana,2016,175475,moana-2016,tt3521164,277834,93,PG,https://walter-r2.trakt.tv/images/movies/000/175/475/posters/thumb/8b65d6e790.jpg.webp
The Last Dance,2024,990784,the-last-dance-2024-11-09,tt31648020,1226141,92,N/A,https://walter-r2.trakt.tv/images/movies/000/990/784/posters/thumb/e543e11f49.jpg.webp
Captain America: Civil War,2016,169105,captain-america-civil-war-2016,tt3498820,271110,91,PG-13,https://walter-r2.trakt.tv/images/movies/000/169/105/posters/thumb/21a0b886e1.jpg.webp
Top Gun: Maverick,2022,297485,top-gun-maverick-2022,tt1745960,361743,91,PG-13,https://walter-r2.trakt.tv/images/movies/000/297/485/posters/thumb/6e3d1206ea.jpg.webp
Spider-Man: Homecoming,2017,196213,spider-man-homecoming-2017,tt2250912,315635,89,PG-13,https://walter-r2.trakt.tv/images/movies/000/196/213/posters/thumb/20b20b707d.jpg.webp
The Lord of the Rings: The Return of the King,2003,90,the-lord-of-the-rings-the-return-of-the-king-2003,tt0167260,122,89,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/090/posters/thumb/308c97714c.jpg.webp
Becoming Led Zeppelin,2025,685641,becoming-led-zeppelin-2025,tt10365912,857800,89,PG-13,https://walter-r2.trakt.tv/images/movies/000/685/641/posters/thumb/1656276972.jpg.webp
Gladiator II,2024,409281,gladiator-ii-2024,tt9218128,558449,88,R,https://walter-r2.trakt.tv/images/movies/000/409/281/posters/thumb/3a9cb9e155.jpg.webp
A Complete Unknown,2024,495543,a-complete-unknown-2024,tt11563598,661539,88,R,https://walter-r2.trakt.tv/images/movies/000/495/543/posters/thumb/87284da14c.jpg.webp
Venom: The Last Dance,2024,730642,venom-the-last-dance-2024,tt16366836,912649,87,PG-13,https://walter-r2.trakt.tv/images/movies/000/730/642/posters/thumb/85fdcd99b2.jpg.webp
Snow White,2025,293904,snow-white-2025,tt6208148,447273,86,PG,https://walter-r2.trakt.tv/images/movies/000/293/904/posters/thumb/7157c4fdaf.jpg.webp
TRON: Legacy,2010,12601,tron-legacy-2010,tt1104001,20526,84,PG,https://walter-r2.trakt.tv/images/movies/000/012/601/posters/thumb/e0d9dd35c5.jpg.webp
Dog Man,2025,611948,dog-man-2025,tt10954718,774370,84,PG,https://walter-r2.trakt.tv/images/movies/000/611/948/posters/thumb/b955658916.jpg.webp
Dune,2021,287071,dune-2021,tt1160419,438631,83,PG-13,https://walter-r2.trakt.tv/images/movies/000/287/071/posters/thumb/11047a3b78.jpg.webp
Dune: Part Two,2024,537449,dune-part-two-2024,tt15239678,693134,83,PG-13,https://walter-r2.trakt.tv/images/movies/000/537/449/posters/thumb/2acc44f507.jpg.webp
Kraven the Hunter,2024,391372,kraven-the-hunter-2024,tt8790086,539972,83,R,https://walter-r2.trakt.tv/images/movies/000/391/372/posters/thumb/953ae3347b.jpg.webp
Bridget Jones: Mad About the Boy,2025,1032845,bridget-jones-mad-about-the-boy-2025,tt32063050,1272149,81,R,https://walter-r2.trakt.tv/images/movies/001/032/845/posters/thumb/459e3bee64.jpg.webp
Death of a Unicorn,2025,929147,death-of-a-unicorn-2025,tt28443655,1153714,80,R,https://walter-r2.trakt.tv/images/movies/000/929/147/posters/thumb/1c8441e7e7.jpg.webp
The Martian,2015,183371,the-martian-2015,tt3659388,286217,79,PG-13,https://walter-r2.trakt.tv/images/movies/000/183/371/posters/thumb/8767195506.jpg.webp
Frozen,2013,77349,frozen-2013,tt2294629,109445,79,PG,https://walter-r2.trakt.tv/images/movies/000/077/349/posters/thumb/a17069ed77.jpg.webp
The Hunger Games,2012,51342,the-hunger-games-2012,tt1392170,70160,79,PG-13,https://walter-r2.trakt.tv/images/movies/000/051/342/posters/thumb/fdd7c5f3f0.jpg.webp
Toy Story,1995,705,toy-story-1995,tt0114709,862,79,G,https://walter-r2.trakt.tv/images/movies/000/000/705/posters/thumb/a91e865e00.jpg.webp
Shrek,2001,651,shrek-2001,tt0126029,808,78,PG,https://walter-r2.trakt.tv/images/movies/000/000/651/posters/thumb/1df44653f4.jpg.webp
